DCID,Permit Number,Program Name,Facility Type,Program Type,Street Address,Borough,Zip Code,Phone Number,Child Age Range,Children Allowed in Care,Administer Medication,BIN,BBL,Community Board,Council District,Census Tract,NTA Code,Latitude,Longitude
DC703,3180.0,"SHOSTAKOVICH MUSIC, ART AND SPORT SCHOOL, INC",GCC,PRESCHOOL,1938 BATH AVENUE,BROOKLYN,11214,(718) 372-3716,2 YEARS - 5 YEARS,36,No,3168756.0,3064400034.0,311.0,47.0,28200.0,BK27,40.602036491806,-74.002672051045
DC22047,47618.0,"CHILDREN'S CENTER OF JOHN JAY COLLEGE OF CRIMINAL JUSTICE, INC.",GCC,INFANT TODDLER,860 11TH AVENUE,MANHATTAN,10019,(212) 393-6438,0 YEARS - 2 YEARS,14,No,1027084.0,1010870005.0,104.0,6.0,14700.0,MN14,40.771199261384,-73.990739504582
DC14957,5555.0,Child Development Center of the Mosholu-Montefiore Community Center Inc.,GCC,INFANT TODDLER,3450 DEKALB AVE,BRONX,10467,(718) 654-0563,0 YEARS - 2 YEARS,8,No,2096396.0,2033270001.0,207.0,11.0,42100.0,BX43,40.881479579178,-73.881224851401
DC41006,105742.0,ARCADIA LEARNING CENTER,GCC,PRESCHOOL,2169 GRAND CONCOURSE,BRONX,10453,(718) 220-5669,2 YEARS - 5 YEARS,52,No,2086818.0,2031620044.0,205.0,14.0,23704.0,BX40,40.855072472086,-73.90148311208
DC39106,105525.0,"ELMCOR YOUTH & ADULT ACTIVITIES, INC.",GCC,PRESCHOOL,172-17 LINDEN BOULEVARD,QUEENS,11434,(718) 651-0096,2 YEARS - 5 YEARS,70,No,4448875.0,4102870062.0,412.0,27.0,43200.0,QN08,40.69193283724,-73.778063595347
DC3002,6896.0,"HAPPY DRAGON OF NEW YORK, INC",GCC,PRESCHOOL,86-02 57 AVENUE,QUEENS,11373,(718) 397-5733,2 YEARS - 5 YEARS,55,No,4065133.0,4028700001.0,404.0,30.0,47500.0,QN29,40.732546991096,-73.87620167974
DC38595,,Tiegerman School,SBCC,PRESCHOOL,70-24 47 AVENUE,QUEENS,11377,(718) 476-7163,3 YEARS - 5 YEARS,NO DATA,No,4441128.0,4024450001.0,402.0,26.0,48900.0,QN50,40.739006572556,-73.893770640868
DC19576,8225.0,BERRY PATCH DAYCARE,GCC,PRESCHOOL,358 OVINGTON AVENUE,BROOKLYN,11209,(718) 836-8342,2 YEARS - 5 YEARS,18,No,3146547.0,3058910041.0,310.0,47.0,6800.0,BK31,40.634123116935,-74.024791452799
DC19565,,THE CHURCH OF TERESA OF THE INFANT JESUS SCHOOL,SBCC,PRESCHOOL,1632 VICTORY BLVD.,STATEN ISLAND,10314,(718) 448-9650,3 YEARS - 5 YEARS,NO DATA,No,5106921.0,5006950039.0,501.0,49.0,16901.0,SI07,40.613435384117,-74.117824549812
DC43468,106501.0,NEW AMSTERDAM SCHOOL,GCC,INFANT TODDLER,62 AVENUE B,MANHATTAN,10009,(212) 533-1820,0 YEARS - 2 YEARS,10,No,1005026.0,1004000031.0,103.0,2.0,3200.0,MN22,40.7235080495,-73.982365386165
DC19611,,Jewish Institute,SBCC,PRESCHOOL,60-05 WOODHAVEN BLVD.,QUEENS,11373,(718) 426-9369,3 YEARS - 5 YEARS,NO DATA,No,4072178.0,4030880001.0,406.0,30.0,68700.0,QN18,40.73124910255,-73.871560397697
DC33868,103803.0,MANHATTAN SCHOOL HOUSE LLC,GCC,PRESCHOOL,1608 FIRST AVENUE,MANHATTAN,10028,(212) 879-4400,2 YEARS - 5 YEARS,60,No,1085139.0,1015630004.0,108.0,5.0,13600.0,MN32,40.775259450639,-73.950539065142
DC18357,7987.0,KREATIVE KARE TOO NURSERY SCHOOL,GCC,INFANT TODDLER,541 KNICKERBOCKER AVENUE,BROOKLYN,11221,(718) 386-3242,0 YEARS - 2 YEARS,18,No,3076117.0,3033260001.0,304.0,37.0,43300.0,BK77,40.697271310595,-73.915641164475
DC32869,103649.0,BRIGHT HORIZONS AT LONG ISLAND CITY,GCC,INFANT TODDLER,42-09 28TH STREET,QUEENS,11101,(718) 361-6414,0 YEARS - 2 YEARS,36,No,4538327.0,4004207501.0,402.0,26.0,1900.0,QN31,40.749634394008,-73.939135181882
DC1849,4207.0,"COLONY-SOUTH BROOKLYN HOUSES, INC.",GCC,PRESCHOOL,222 GRAHAM AVENUE,BROOKLYN,11206,(718) 387-9482,2 YEARS - 5 YEARS,35,No,3344971.0,3030260001.0,301.0,34.0,49300.0,BK78,40.709615226831,-73.943568775068
DC24871,51441.0,"RAINBOW CHILD DEVELOPMENT CENTER, INC.",GCC,PRESCHOOL,77-42 164 STREET,QUEENS,11366,(718) 969-1900,2 YEARS - 5 YEARS,118,No,4148311.0,4068500020.0,408.0,24.0,125700.0,QN37,40.723411796754,-73.804727799778
DC20687,53757.0,KEITH HARING SCHOOL,GCC,INFANT TODDLER,318 EAST 116TH STREET,MANHATTAN,10029,(212) 426-3960,0 YEARS - 2 YEARS,18,No,1052925.0,1016870042.0,111.0,8.0,18800.0,MN34,40.796689374081,-73.937069431649
DC41387,105749.0,Twinkle,GCC,PRESCHOOL,1247 38 STREET,BROOKLYN,11218,(718) 683-3620,2 YEARS - 5 YEARS,87,No,3398078.0,3052950052.0,312.0,39.0,22600.0,BK88,40.641879054405,-73.986851538145
DC269,4735.0,"BETH JACOB DAY CARE CENTER, INC.",GCC,PRESCHOOL,1363 46TH STREET,BROOKLYN,11219,(718) 435-5755,2 YEARS - 5 YEARS,237,No,3136748.0,3056170050.0,312.0,44.0,23200.0,BK88,40.635914875363,-73.989057742958
DC25313,64678.0,"CREATIVE LEARNING CLUBHOUSE, INC.",GCC,PRESCHOOL,275 WALKER STREET,STATEN ISLAND,10303,(718) 448-0582,NO DATA,42,No,5103986.0,5011550010.0,501.0,49.0,23900.0,SI12,40.631504101518,-74.148678077352
DC754,6520.0,BURATINO INTERNATIONAL DAY CARE,GCC,PRESCHOOL,2962 BRIGHTON 1ST STREET,BROOKLYN,11235,(718) 368-2113,2 YEARS - 5 YEARS,49,No,3321624.0,3086610054.0,313.0,48.0,36400.0,BK19,40.579304783529,-73.966520774944
DC43377,106417.0,BAIS SIMCHA,GCC,PRESCHOOL,1374 42 STREET,BROOKLYN,11219,(718) 400-2326,2 YEARS - 5 YEARS,36,No,3427374.0,3055997502.0,312.0,44.0,23200.0,BK88,40.63803083578,-73.986553242271
DC21879,13318.0,BUBBLE BEES DAY CARE - PRESCHOOL,GCC,PRESCHOOL,76 LORRAINE STREET,BROOKLYN,11231,(718) 858-8111,2 YEARS - 5 YEARS,77,No,3338801.0,3005800016.0,306.0,38.0,5300.0,BK33,40.674377784633,-74.006885680104
DC40683,,BETH JACOB SCHOOL FOR GIRLS,SBCC,PRESCHOOL,85 PARKVILLE AVENUE,BROOKLYN,11230,(718) 633-6555,3 YEARS - 5 YEARS,NO DATA,No,3127884.0,3054220034.0,314.0,40.0,48000.0,BK42,40.629130328162,-73.975077112271
DC41716,105791.0,"B'Above Worldwide Institute, Inc.",GCC,INFANT TODDLER,112-33 QUEENS BOULEVARD,QUEENS,11375,(718) 925-2001,0 YEARS - 2 YEARS,47,No,4447030.0,4022640062.0,406.0,29.0,75701.0,QN17,40.717971646278,-73.83629088764
DC42648,106234.0,BLOCKS CHILDCARE LLC,GCC,INFANT TODDLER,217 LEE AVENUE,BROOKLYN,11206,(917) 561-0813,0 YEARS - 2 YEARS,38,No,3426570.0,3022327505.0,301.0,33.0,53100.0,BK75,40.701506827805,-73.955224793874
DC42967,106204.0,BEANSTALK CHILD CARE ACADEMY,GCC,PRESCHOOL,3942 WHITE PLAINS ROAD,BRONX,10466,(718) 589-6101,2 YEARS - 5 YEARS,115,No,2063371.0,2048370051.0,212.0,12.0,39600.0,BX44,40.88685026759,-73.86098012649
DC21106,8331.0,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,GCC,INFANT TODDLER,89 CATHERINE STREET,MANHATTAN,10002,(212) 453-4554,0 YEARS - 2 YEARS,8,No,1077585.0,1002530001.0,103.0,1.0,800.0,MN27,40.710512876211,-73.996558893408
DC40698,105504.0,OUTSHINE KIDS CORP,GCC,PRESCHOOL,47-24 BELL BOULEVARD,QUEENS,11361,(718) 799-2950,2 YEARS - 5 YEARS,54,No,4157333.0,4073300035.0,411.0,19.0,144700.0,QN46,40.75649652054,-73.767517141045
DC20320,8383.0,BEDROCK PRESCHOOL,GCC,INFANT TODDLER,3220 ARLINGTON AVENUE,BRONX,10463,(718) 884-0020,0 YEARS - 2 YEARS,28,No,2109355.0,2057887501.0,208.0,11.0,29700.0,BX29,40.884587070746,-73.912310444589
DC37652,104723.0,LEARNING WHEEL CHILDCARE,GCC,PRESCHOOL,48 SULLIVAN ST,BROOKLYN,11231,(718) 576-3443,2 YEARS - 5 YEARS,30,No,3008556.0,3005560032.0,306.0,38.0,5300.0,BK33,40.677020677106,-74.011060789003
DC2824,6480.0,ST. JOHN'S ENGLISH EVANGELICAL LUTHERAN CHURCH OF RICHMOND HILL,GCC,PRESCHOOL,86-20 114 STREET,QUEENS,11418,(718) 441-3611,2 YEARS - 5 YEARS,29,No,4192690.0,4092260069.0,409.0,29.0,13000.0,QN54,40.699097097324,-73.835259095636
DC962,4022.0,ACTION NURSERY,GCC,PRESCHOOL,1019 46 STREET,BROOKLYN,11219,(718) 854-7777,2 YEARS - 5 YEARS,35,No,3136635.0,3056140042.0,312.0,38.0,11200.0,BK34,40.640381103287,-73.996450824055
DC2153,2261.0,"EAST HARLEM BLOCK NURSERY, INC.",GCC,PRESCHOOL,215 EAST 106 STREET,MANHATTAN,10029,(212) 427-2571,2 YEARS - 5 YEARS,45,No,1080690.0,1016560001.0,111.0,8.0,17000.0,MN33,40.791305038445,-73.944040979553
DC14830,7604.0,OAKDALE ACADEMY,GCC,INFANT TODDLER,366 OAKDALE STREET,STATEN ISLAND,10312,(718) 948-4220,0 YEARS - 2 YEARS,18,No,5068787.0,5053250001.0,503.0,51.0,15602.0,SI01,40.541312801076,-74.162918486698
DC39354,105514.0,Kiddie Zone 44 Inc.,GCC,INFANT TODDLER,4404 NEW UTRECHT AVENUE,BROOKLYN,11219,(718) 871-4404,0 YEARS - 2 YEARS,45,No,3136343.0,3056080027.0,312.0,38.0,11200.0,BK34,40.640822927711,-73.994328487237
DC24727,25199.0,"THE FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS, INC.",GCC,PRESCHOOL,2505 PITKIN AVENUE,BROOKLYN,11208,(929) 234-2850,2 YEARS - 5 YEARS,122,No,3089020.0,3040060037.0,305.0,42.0,119200.0,BK82,40.674276476856,-73.879745888241
DC42569,106429.0,Association To Benefit Children,GCC,INFANT TODDLER,419 E 86TH ST,MANHATTAN,10028,(212) 845-3821,0 YEARS - 2 YEARS,10,No,1083281.0,1015660008.0,108.0,5.0,14402.0,MN32,40.776515654092,-73.948505349679
DC1425,,ST. JOSEPH PRESCHOOL,SBCC,PRESCHOOL,420 EAST 87 STREET,MANHATTAN,10128,(212) 289-3057,3 YEARS - 5 YEARS,227,No,1073877.0,1015660036.0,108.0,5.0,14402.0,MN32,40.777262102065,-73.948226749381
DC196,5038.0,P.A.L./W.O.C.E. HEAD START,GCC,PRESCHOOL,280 LIVONIA AVENUE,BROOKLYN,11212,(718) 345-5219,2 YEARS - 5 YEARS,235,No,3326581.0,3035900011.0,316.0,41.0,91800.0,BK81,40.662757656172,-73.90744883621
DC2929,6680.0,"THE CRAYON BOX,INC",GCC,PRESCHOOL,44-10 192 STREET,QUEENS,11358,(718) 888-9341,2 YEARS - 5 YEARS,20,No,4438229.0,4055150053.0,411.0,19.0,145900.0,QN48,40.756250352895,-73.789283456641
DC25392,40417.0,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,GCC,PRESCHOOL,1169 43RD STREET,BROOKLYN,11219,(718) 435-5111,2 YEARS - 5 YEARS,62,No,3135866.0,3055970053.0,312.0,44.0,22400.0,BK88,40.640273814085,-73.991741423202
DC39156,105924.0,CONGREGATION ML,GCC,INFANT TODDLER,4206 12 AVENUE,BROOKLYN,11219,(718) 541-4007,0 YEARS - 2 YEARS,24,No,3135858.0,3055970043.0,312.0,44.0,22400.0,BK88,40.640166659795,-73.99036140605
DC33871,104007.0,"WORLDTOTS, LLC",GCC,PRESCHOOL,6813 8  AVENUE,BROOKLYN,11220,(718) 745-6813,NO DATA,50,No,3142985.0,3057700005.0,310.0,38.0,12801.0,BK30,40.630768018992,-74.01445044295
DC3019,4761.0,THE FAMILY ANNEX INC.,GCC,PRESCHOOL,560 WEST 113 STREET,MANHATTAN,10025,(212) 749-3271,2 YEARS - 5 YEARS,28,No,1057013.0,1018840058.0,109.0,7.0,19900.0,MN09,40.805717624854,-73.964488371203
DC37594,104724.0,BRIGHT HORIZONS AT DUMBO,GCC,INFANT TODDLER,60 WATER ST,BROOKLYN,11201,(718) 938-4356,0 YEARS - 2 YEARS,86,No,3398406.0,3000367504.0,302.0,33.0,2100.0,BK38,40.703263686693,-73.991665063676
DC40818,105866.0,MSH 1538 LLC,GCC,PRESCHOOL,1538 2 AVENUE,MANHATTAN,10028,(212) 837-1746,2 YEARS - 5 YEARS,120,No,1090305.0,1015437503.0,108.0,5.0,13800.0,MN32,40.774105538773,-73.954478968231
DC36978,104665.0,METROKIDS CRADLE (SOUTH END) INC,GCC,INFANT TODDLER,25 MARKET STREET,MANHATTAN,10002,(212) 577-2710,0 YEARS - 2 YEARS,18,No,1077812.0,1002777501.0,103.0,1.0,800.0,MN27,40.712843102591,-73.994448586057
DC1630,6102.0,PAL CAREY GARDENS DAY CARE CENTER,GCC,PRESCHOOL,2964 WEST 23 STREET,BROOKLYN,11224,(718) 372-4044,2 YEARS - 5 YEARS,49,No,3321840.0,3070560014.0,313.0,47.0,32600.0,BK21,40.574692493006,-73.989827340915
DC22031,60378.0,"SUPERIOR DAY CARE, INC.",GCC,INFANT TODDLER,1741 BROADWAY,BROOKLYN,11207,(718) 975-4904,0 YEARS - 2 YEARS,30,No,3397023.0,3034440005.0,304.0,37.0,40300.0,BK78,40.683027638262,-73.910651158634
DC43714,106524.0,"VIVVI 11, LLC",GCC,INFANT TODDLER,25 TUDOR CITY PLACE,MANHATTAN,10017,(646) 829-8988,0 YEARS - 2 YEARS,42,No,1038655.0,1013340022.0,106.0,4.0,8800.0,MN19,40.748537937608,-73.970798797664
DC10905,7081.0,MONA PREP DAY CARE INCORPORATED,GCC,PRESCHOOL,241-15 NORTH CONDUIT AVENUE,QUEENS,11422,(718) 525-8555,2 YEARS - 5 YEARS,135,No,4284726.0,4132560001.0,413.0,31.0,63800.0,QN05,40.666575234295,-73.736027855776
DC1464,5224.0,"JEWISH COMMUNITY CENTER OF STATEN ISLAND, INCORPORATED",GCC,PRESCHOOL,1297 ARTHUR KILL ROAD,STATEN ISLAND,10312,(718) 475-5224,2 YEARS - 5 YEARS,105,No,5077603.0,5059000105.0,503.0,51.0,22800.0,SI05,40.56533110744,-74.183773279323
DC31670,64038.0,PARK CHILDREN'S DAY SCHOOL,GCC,PRESCHOOL,4 WEST 76TH STREET,MANHATTAN,10023,(212) 288-3247,2 YEARS - 5 YEARS,135,No,1028766.0,1011280033.0,107.0,6.0,16100.0,MN12,40.778898546033,-73.97432757675
DC23103,,YESHIVA YAGDIL TORAH,SBCC,PRESCHOOL,5110 18 AVENUE,BROOKLYN,11204,(718) 871-9100,2 YEARS - 5 YEARS,NO DATA,No,3129697.0,3054670042.0,312.0,44.0,47200.0,BK88,40.627042886543,-73.982264885347
DC22133,26597.0,THE CHILDREN'S AID SOCIETY,GCC,PRESCHOOL,93 NAGLE AVENUE,MANHATTAN,10040,(212) 544-0221,2 YEARS - 5 YEARS,51,No,1064149.0,1021730001.0,112.0,10.0,28300.0,MN35,40.86040590356,-73.927934776093
DC40649,105575.0,STUYVESANT TOWN KIDS INC,GCC,PRESCHOOL,315 AVENUE C,MANHATTAN,10009,(212) 462-2524,NO DATA,100,No,1082851.0,1009720001.0,106.0,4.0,4400.0,MN50,40.731482779376,-73.974136640972
DC14338,6620.0,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,GCC,INFANT TODDLER,21 CLAREMONT AVENUE,MANHATTAN,10027,(212) 854-9601,0 YEARS - 2 YEARS,20,No,1059819.0,1019900010.0,109.0,7.0,20500.0,MN09,40.809178707886,-73.964352858703
DC2406,5477.0,"LEMON TREE OF RICHMOND, INC.",GCC,PRESCHOOL,341 ELVIN STREET,STATEN ISLAND,10314,(718) 370-2292,2 YEARS - 5 YEARS,56,No,5020571.0,5007960001.0,502.0,50.0,18702.0,SI05,40.602729547297,-74.12156162281
DC11238,5113.0,"ST. THOMAS MOORE PLAY GROUP, INC.",GCC,PRESCHOOL,65 EAST 89 STREET,MANHATTAN,10128,(212) 534-3977,2 YEARS - 5 YEARS,70,No,1081254.0,1015010027.0,108.0,4.0,15002.0,MN40,40.782530080576,-73.956784192465
DC12135,,Gan Yisroel,SBCC,PRESCHOOL,3909 15 AVENUE,BROOKLYN,11218,(718) 853-9853,3 YEARS - 5 YEARS,NO DATA,No,3125790.0,3053650006.0,312.0,39.0,22800.0,BK88,40.637838075876,-73.981998979899
DC41770,105881.0,City Kids Learning Centers LLC,GCC,INFANT TODDLER,240 MEEKER AVENUE,BROOKLYN,11211,(718) 885-4404,0 YEARS - 2 YEARS,20,No,3068360.0,3027460039.0,301.0,34.0,50100.0,BK90,40.715972560428,-73.950478618134
DC41156,105816.0,COMMONPOINT QUEENS,GCC,INFANT TODDLER,58-20 LITTLE NECK PARKWAY,QUEENS,11362,(718) 225-6750,0 YEARS - 2 YEARS,30,No,4173029.0,4083520051.0,411.0,23.0,152902.0,QN45,40.761569138024,-73.723120227739
DC1134,5562.0,YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,GCC,PRESCHOOL,232-26 EAST 47 STREET,MANHATTAN,10017,(212) 912-2507,2 YEARS - 5 YEARS,18,No,1037604.0,1013207505.0,106.0,4.0,9000.0,MN19,40.753571952213,-73.971287456831
DC37979,104774.0,LITTLE SUNSHINE CENTER,GCC,PRESCHOOL,5959 BROADWAY,BRONX,10463,(347) 202-7542,2 YEARS - 5 YEARS,21,No,2124471.0,2057760621.0,208.0,11.0,28500.0,BX29,40.888948080268,-73.898532081118
DC37724,,The Geneva School of Manhattan,SBCC,PRESCHOOL,138 WEST 90 STREET,MANHATTAN,10024,(212) 754-9988,3 YEARS - 5 YEARS,NO DATA,No,1032440.0,1012200053.0,107.0,6.0,17300.0,MN12,40.78979744411,-73.972124050489
DC25017,54017.0,NEW YORK CENTER FOR CHILD DEVELOPMENT,GCC,PRESCHOOL,159 WEST 127TH STREET,MANHATTAN,10027,(212) 752-7575,2 YEARS - 5 YEARS,135,No,1057901.0,1019127502.0,110.0,9.0,22400.0,MN03,40.80974525001,-73.946113399928
DC1300,4079.0,"MARTIN L. KING, JR. MEMORIAL DAY CARE CTR",GCC,PRESCHOOL,36-06 PRINCE STREET,QUEENS,11354,(718) 886-3165,2 YEARS - 5 YEARS,35,No,4112217.0,4049690018.0,407.0,20.0,86900.0,QN22,40.762083714794,-73.83310646249
DC34461,104012.0,UNITED ACADEMY - SKILLMAN,GCC,INFANT TODDLER,232 SKILLMAN ST,BROOKLYN,11205,(718) 694-2550,0 YEARS - 2 YEARS,37,No,3055217.0,3019270060.0,303.0,33.0,23500.0,BK69,40.691387336947,-73.956486500768
DC20905,,OUR LADY OF GRACE CATHOLIC ACADEMY,SBCC,PRESCHOOL,385 AVENUE W,BROOKLYN,11223,(718) 375-2081,3 YEARS - 5 YEARS,NO DATA,No,3193833.0,3071540040.0,315.0,44.0,38800.0,BK25,40.592886596403,-73.968638323786
DC25846,75218.0,SWEET HOME DAY CARE CENTER,GCC,PRESCHOOL,927 MCDONALD  AVENUE,BROOKLYN,11218,(718) 871-4301,2 YEARS - 5 YEARS,75,No,3127549.0,3054080055.0,314.0,40.0,47800.0,BK88,40.631505027548,-73.977299114671
DC33254,103911.0,LITTLE SCHOLARS LEARNING CENTER III,GCC,PRESCHOOL,104 WEST END AVENUE,BROOKLYN,11235,(718) 332-4172,2 YEARS - 5 YEARS,78,No,3421760.0,3087197502.0,315.0,48.0,61004.0,BK19,40.579000971226,-73.953302093078
DC33878,103610.0,"GIOCARE, LLC",GCC,PRESCHOOL,552 5 AVENUE,BROOKLYN,11215,(347) 827-1372,2 YEARS - 5 YEARS,126,No,3023919.0,3010470039.0,307.0,38.0,14100.0,BK37,40.665473444105,-73.989395310888
DC1397,,CHURCH OF ST. PATRICK,SBCC,PRESCHOOL,3560 RICHMOND ROAD,STATEN ISLAND,10306,(718) 979-8815,3 YEARS - 5 YEARS,NO DATA,No,5060448.0,5044240001.0,503.0,50.0,13800.0,SI25,40.572692989957,-74.138730656956
DC1174,4625.0,GARDEN SCHOOL,GCC,PRESCHOOL,33-16 79 STREET,QUEENS,11372,(718) 335-6363,2 YEARS - 5 YEARS,126,No,4437110.0,4012510012.0,403.0,25.0,28700.0,QN28,40.754783556409,-73.888082173494
DC21898,,TALMUD TORAH D'RABINU YOEL,SBCC,PRESCHOOL,5411 FORT HAMILTON PARKWAY,BROOKLYN,11219,(718) 438-7822,3 YEARS - 5 YEARS,NO DATA,No,3139246.0,3056740006.0,312.0,44.0,21800.0,BK88,40.635857749142,-74.001390749943
DC37076,104674.0,CHANGING TOMORROW CHILD CARE LLC,GCC,INFANT TODDLER,257 GOLD ST,BROOKLYN,11201,(205) 701-3333,0 YEARS - 2 YEARS,108,No,3396901.0,3001220013.0,302.0,33.0,1500.0,BK38,40.696864688542,-73.983147812674
DC26096,72782.0,INNER FORCE KIDS CORP.,GCC,PRESCHOOL,4105 CHURCH AVENUE,BROOKLYN,11203,(718) 856-1100,2 YEARS - 5 YEARS,129,No,3108984.0,3048780038.0,317.0,40.0,81400.0,BK91,40.651335744074,-73.938879237897
DC38821,105194.0,"GRAND STREET SETTLEMENT,INC.",GCC,PRESCHOOL,928 55TH ST,BROOKLYN,11219,(347) 325-9055,2 YEARS - 5 YEARS,103,No,3421364.0,3056807501.0,312.0,43.0,11600.0,BK88,40.636450575012,-74.003566981147
DC14204,7541.0,ALPHA FUNDEMENTAL PRESCHOOL INC.,GCC,PRESCHOOL,218-28 HEMPSTEAD AVENUE,QUEENS,11429,(718) 740-1010,2 YEARS - 5 YEARS,20,No,4239324.0,4111060055.0,413.0,27.0,54000.0,QN34,40.713689367292,-73.737171611821
DC39163,106104.0,"CONG NACHAS RUACH, INC.",GCC,INFANT TODDLER,1236 48 STREET,BROOKLYN,11219,(718) 972-2139,0 YEARS - 2 YEARS,20,No,3137405.0,3056347511.0,312.0,44.0,22000.0,BK88,40.636357084903,-73.992851635708
DC508,,SAINT ANSELM CATHOLIC ACADEMY,SBCC,PRESCHOOL,365 83 STREET,BROOKLYN,11209,(718) 745-7643,3 YEARS - 5 YEARS,NO DATA,No,3152079.0,3060070053.0,310.0,47.0,6200.0,BK31,40.625289541964,-74.028498637737
DC34195,103808.0,THE MAPLE STREET SCHOOL,GCC,PRESCHOOL,626 FLATBUSH AVENUE,BROOKLYN,11225,(929) 368-3752,2 YEARS - 5 YEARS,60,No,3114633.0,3050260185.0,309.0,40.0,79802.0,BK60,40.658113845818,-73.960444059431
DC35632,104829.0,LITTLE SCHOLARS EARLY DEVELOPMENT CENTER LLC,GCC,PRESCHOOL,3365 THIRD AVE,BRONX,10456,(718) 292-5761,2 YEARS - 5 YEARS,57,No,2129367.0,2023707501.0,203.0,16.0,18500.0,BX35,40.827317128049,-73.90741418783
DC38294,105182.0,WORLD OF WONDERS,GCC,INFANT TODDLER,6703 13TH AVENUE,BROOKLYN,11219,(929) 275-3551,0 YEARS - 2 YEARS,14,No,3142894.0,3057680012.0,310.0,43.0,19600.0,BK30,40.624694689639,-74.00284227324
DC42773,106195.0,TINY HEARTS NY LLC.,GCC,PRESCHOOL,1502 46 STREET,BROOKLYN,11219,(718) 216-0800,2 YEARS - 5 YEARS,57,No,3128573.0,3054367508.0,312.0,44.0,23400.0,BK88,40.633817480332,-73.98561014295
DC19072,7984.0,"STEPS TO SUCCESS II, LLC",GCC,PRESCHOOL,2975 HYLAN BLVD,STATEN ISLAND,10306,(718) 351-7777,2 YEARS - 5 YEARS,89,No,5152200.0,5043010033.0,503.0,50.0,13201.0,SI25,40.560956050303,-74.1194483267
DC42223,106255.0,MS. LAM MONTESSORI LLC,GCC,INFANT TODDLER,2 NORTHSIDE PIERS,BROOKLYN,11249,(929) 283-3990,0 YEARS - 2 YEARS,20,No,3397447.0,3023407503.0,301.0,33.0,55500.0,BK73,40.719792788018,-73.963866937
DC21405,8220.0,CONGREGATION OORAH,GCC,PRESCHOOL,374 RIDGEWOOD AVENUE,STATEN ISLAND,10312,(718) 948-7827,2 YEARS - 5 YEARS,55,No,5073662.0,5055280139.0,503.0,51.0,14607.0,SI54,40.556713416069,-74.165136998144
DC2425,,LITTLE RED SCHOOL HOUSE & ELIZABETH IRWIN HIGH SCHOOL,SBCC,PRESCHOOL,272 6 AVENUE,MANHATTAN,10014,(212) 477-5316,3 YEARS - 5 YEARS,85,No,1008298.0,1005260018.0,102.0,2.0,6500.0,MN23,40.729435332333,-74.002298333052
DC2540,,SAINT ROSE OF LIMA,SBCC,PRESCHOOL,154 BEACH 84 STREET,QUEENS,11693,(718) 474-7079,3 YEARS - 5 YEARS,NO DATA,No,4538543.0,4161300013.0,414.0,32.0,94203.0,QN12,40.586628356442,-73.809741314694
DC470,7504.0,STARRETT EARLY LEARNING CENTER,GCC,PRESCHOOL,1325 PENNSYLVANIA AVENUE,BROOKLYN,11239,(718) 642-8724,2 YEARS - 5 YEARS,62,No,3343596.0,3044520085.0,305.0,42.0,105801.0,BK93,40.64831346469,-73.88226497301
DC37673,105027.0,KINDERCARE EDUCATION LLC,GCC,INFANT TODDLER,808 COLUMBUS AVENUE,MANHATTAN,10025,(212) 865-1498,0 YEARS - 2 YEARS,62,No,1088432.0,1018527501.0,107.0,7.0,18500.0,MN12,40.794560765953,-73.9662893116
DC1766,,ST. ANSELM SCHOOL,SBCC,PRESCHOOL,685 TINTON AVENUE,BRONX,10455,(718) 993-9464,3 YEARS - 5 YEARS,NO DATA,No,2004684.0,2026540001.0,201.0,8.0,7900.0,BX34,40.816281412003,-73.905149931643
DC2464,51978.0,EVANGELICAL LUTHERAN CHURCH OF OUR SAVIOUR,GCC,PRESCHOOL,64-33 WOODHAVEN BLVD,QUEENS,11374,(718) 897-4343,2 YEARS - 5 YEARS,96,No,4541678.0,4031360004.0,406.0,30.0,69702.0,QN18,40.720639456681,-73.865794357998
DC1414,,OUR LADY QUEEN OF ANGELS SCHOOL,SBCC,PRESCHOOL,232 EAST 113 STREET,MANHATTAN,10029,(212) 722-9277,3 YEARS - 5 YEARS,21,No,1081353.0,1016620035.0,111.0,8.0,18000.0,MN34,40.795486089796,-73.940176594833
DC11648,5598.0,YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,GCC,INFANT TODDLER,232-26 EAST 47 STREET,MANHATTAN,10017,(212) 912-2507,0 YEARS - 2 YEARS,10,No,1037604.0,1013207505.0,106.0,4.0,9000.0,MN19,40.753571952213,-73.971287456831
DC322,1531.0,RIVERDALE PRESBYTERIAN CHURCH,GCC,PRESCHOOL,4765 HENRY HUDSON PARKWAY,BRONX,10471,(718) 548-8260,2 YEARS - 5 YEARS,60,No,2087605.0,2059120013.0,208.0,11.0,30701.0,BX22,40.896251761961,-73.908312514547
